"setting","dataset","method_id","family","method_label","mrts_k","quantile","baseline_brier","mrts_brier","delta_brier","baseline_quant","mrts_quant","delta_quant"
4,14,1,"gaussian","Gaussian",10,0.9,0.0195099235272727,0.0195077094409091,-2.21408636363538e-06,2.67766386337478,2.67786800449143,0.000204141116650014
4,14,1,"gaussian","Gaussian",10,0.91,0.0176019632727273,0.0176200954,1.81321272727276e-05,2.53306188070495,2.53310380778839,4.19270834401964e-05
4,14,1,"gaussian","Gaussian",10,0.92,0.0178080862636364,0.01782961875,2.15324863636381e-05,2.37830681423702,2.3783067751182,-3.9118825956308e-08
4,14,1,"gaussian","Gaussian",10,0.93,0.0179586925818182,0.0179860829090909,2.73903272727249e-05,2.21228720443037,2.21241233328153,0.000125128851162337
4,14,1,"gaussian","Gaussian",10,0.94,0.0147692306636364,0.0147982676727273,2.90370090909077e-05,2.03262844787196,2.03268540105628,5.69531843201965e-05
4,14,1,"gaussian","Gaussian",10,0.95,0.0100497760818182,0.0100447652818182,-5.01080000000001e-06,1.83250889353931,1.83251367333142,4.77979211366275e-06
4,14,1,"gaussian","Gaussian",10,0.96,0.00644959016363636,0.00647443902272727,2.48488590909087e-05,1.60860904149115,1.60873588784473,0.000126846353583954
4,14,1,"gaussian","Gaussian",10,0.97,0.00480576887727273,0.00485056800909091,4.47991318181813e-05,1.33097926791839,1.33111965995084,0.000140392032459413
4,14,1,"gaussian","Gaussian",10,0.98,0.00458238925,0.00459122112727273,8.8318772727275e-06,0.991690147728793,0.991876981545676,0.000186833816882892
4,14,1,"gaussian","Gaussian",10,0.99,0.00541632963181818,0.00541775579545455,1.42616363636369e-06,0.543629418809049,0.543521384601827,-0.000108034207222163
4,14,1,"gaussian","Gaussian",10,0.995,0.00320841444545455,0.00320217239090909,-6.24205454545458e-06,0.295996267606988,0.296211096002126,0.000214828395138311
4,15,1,"gaussian","Gaussian",10,0.9,0.0409778404772727,0.0409966572863636,1.88168090909033e-05,1.59146849270956,1.59145010392479,-1.83887847775566e-05
4,15,1,"gaussian","Gaussian",10,0.91,0.0383127448863636,0.0383413713636364,2.86264772727252e-05,1.49310852339971,1.49300253590366,-0.000105987496053173
4,15,1,"gaussian","Gaussian",10,0.92,0.0336699627545455,0.0337195604727273,4.9597718181818e-05,1.38942205917161,1.38954259958626,0.000120540414656478
4,15,1,"gaussian","Gaussian",10,0.93,0.0282245044818182,0.0282729607727273,4.84562909090908e-05,1.28015997515249,1.28020581309393,4.58379414491894e-05
4,15,1,"gaussian","Gaussian",10,0.94,0.0240227725727273,0.0240962617909091,7.34892181818159e-05,1.16434273455359,1.16426941006903,-7.33244845605441e-05
