"setting","family","method_id","method_label","mrts_k","quantile","n_pairs","n_valid_brier","n_valid_quant","mean_delta_brier","median_delta_brier","win_rate_brier","mean_delta_quant","median_delta_quant","win_rate_quant"
4,"skew_t_k5_thresh0",4,"Skew-t, K=5",15,0.92,50,50,50,-7.75062727272727e-05,-6.90161045454538e-05,0.62,-0.000151058408908669,-4.74058735002725e-05,0.58
4,"skew_t_k5_thresh0",4,"Skew-t, K=5",15,0.93,50,50,50,-6.93170109090912e-05,-6.35323590909096e-05,0.62,-0.000154999544747034,-0.000107588576768736,0.54
4,"skew_t_k5_thresh0",4,"Skew-t, K=5",15,0.94,50,50,50,-7.3424364090909e-05,-7.25653772727279e-05,0.62,-9.69384708147913e-05,-0.000149116119044834,0.58
4,"skew_t_k5_thresh0",4,"Skew-t, K=5",15,0.95,50,50,50,-2.16987571818183e-05,-2.3024011363637e-05,0.58,-5.35320669401407e-05,2.34811497202281e-05,0.5
4,"skew_t_k5_thresh0",4,"Skew-t, K=5",15,0.96,50,50,50,2.40973037272726e-05,2.61034750000007e-05,0.42,0.000131319185471512,0.000102393730599282,0.46
4,"skew_t_k5_thresh0",4,"Skew-t, K=5",15,0.97,50,50,50,5.37559217272727e-05,1.52759363636363e-05,0.46,-7.65688419144484e-06,9.49750533918436e-06,0.48
4,"skew_t_k5_thresh0",4,"Skew-t, K=5",15,0.98,50,50,50,4.43709834545455e-05,1.72943840909091e-05,0.46,9.88808147830267e-05,-9.77938977106407e-06,0.5
4,"skew_t_k5_thresh0",4,"Skew-t, K=5",15,0.99,50,50,50,4.51551940000001e-05,1.77180613636369e-05,0.42,0.000290257948509929,0.000127872027980258,0.44
4,"skew_t_k5_thresh0",4,"Skew-t, K=5",15,0.995,50,50,50,2.54260114545455e-05,2.40610250000003e-05,0.34,0.000150265445724795,7.37116798318477e-05,0.44
4,"skew_t_k5_thresh0",4,"Skew-t, K=5",20,0.9,50,50,50,-4.49278259999998e-05,-7.12484636363631e-05,0.6,-0.000133297450174488,2.7894045358634e-05,0.46
4,"skew_t_k5_thresh0",4,"Skew-t, K=5",20,0.91,50,50,50,-3.83304877272725e-05,-5.21496931818171e-05,0.62,-6.03229254149662e-05,-2.29719953225294e-05,0.52
4,"skew_t_k5_thresh0",4,"Skew-t, K=5",20,0.92,50,50,50,-3.70892539090905e-05,-9.73659090909053e-06,0.5,-0.000114288077636311,-6.63550694716131e-05,0.56
4,"skew_t_k5_thresh0",4,"Skew-t, K=5",20,0.93,50,50,50,-4.10827140000002e-05,-4.92425750000004e-05,0.62,-0.000103664026725228,-5.65119661885549e-05,0.56
4,"skew_t_k5_thresh0",4,"Skew-t, K=5",20,0.94,50,50,50,-1.41347083636363e-05,-3.76738454545451e-05,0.56,-6.9155266439922e-05,-4.60477662747039e-05,0.54
4,"skew_t_k5_thresh0",4,"Skew-t, K=5",20,0.95,50,50,50,4.77042900909091e-05,1.73215909090915e-05,0.42,-3.46165965057477e-05,-9.72752107963881e-05,0.62
4,"skew_t_k5_thresh0",4,"Skew-t, K=5",20,0.96,50,50,50,5.21929863636363e-05,3.71408999999987e-05,0.42,4.85464077720543e-05,-7.90145297172029e-05,0.52
4,"skew_t_k5_thresh0",4,"Skew-t, K=5",20,0.97,50,50,50,7.45166971818182e-05,7.4406272727273e-05,0.38,0.000138377716632491,7.07529306726018e-05,0.48
