"setting","dataset","method","block","lambda","beta0","zbar","z_pred","z_ratio","sdz_ratio","phi1.z","phi2.z","phi1.tau","phi2.tau","sd_lead1","sd_lead_max","mu_recon","data_mean"
4,"10","2","3",3.05114826196966,9.63845284722852,1.68108863267901,1.53018361387582,1.09861889608199,1.50038535433464,0.7038918660833,-0.271444408498378,0.789767978165416,-0.471153801701649,4.62301447116709,5.03356249315673,14.767703507044,14.7737719426788
4,"1","4","3",2.72366727210093,10.3146980833288,1.7463583139721,1.60291921288052,1.08948616994479,1.399284632056,0.547032441486385,NA,0.646715490374954,NA,3.20654629091698,6.33903078762803,15.071197068456,14.9808812303726
4,"2","4","3",2.65993421348477,9.96054390793943,1.66812793449641,1.54091221672405,1.08255870541595,0.957912960384928,0.493608722095886,NA,0.533020256193141,NA,2.29151129230242,4.41844577930753,14.3976544733761,14.3961964078763
4,"3","4","3",2.94905590030078,10.3711510944537,1.34104953204346,1.4957660047689,0.896563719036152,1.12833633026067,0.482406513214034,NA,0.602515409551117,NA,4.59582581921919,4.96506299152742,14.325981129522,14.3852826548809
4,"4","4","3",3.01813452979319,9.9979899218028,1.12651941823964,1.37140713074228,0.821433251283962,0.84260118991815,0.560130863792698,NA,0.575343436353925,NA,4.0687191434599,4.26361557193778,13.3979770764744,13.2980418976173
4,"5","4","3",3.1277383469749,9.70511378666279,1.74273456345919,1.51960593297919,1.14683321882177,1.16975263714902,0.594626984374197,NA,0.533578090740232,NA,3.59717212922751,4.83871433303212,15.1559315093927,15.1402772283754
4,"6","4","3",2.79388192167821,9.9890096554472,1.64567373546829,1.600745906011,1.02806680890988,1.14454356320201,0.567812779351456,NA,0.610600364633885,NA,3.73310390081771,5.97391652407242,14.5868277539527,14.5724090652719
4,"7","4","3",2.8404262161162,10.0914420420438,1.45761079901773,1.50426275760355,0.968986828697303,1.24355133150906,0.524046737206592,NA,0.473109493069527,NA,4.80923786324259,4.9334218807096,14.2316779684679,14.1522007024748
4,"8","4","3",2.77221591413751,10.1046262559115,1.43311520307313,1.51525997260748,0.945788332682615,1.08779826824181,0.505287384353478,NA,0.538671255823314,NA,5.25858758959092,5.25858758959092,14.0775310286633,14.0492811176416
4,"9","4","3",2.36502677653956,10.3199723702748,1.57337208884101,1.52074271964318,1.03460767460402,1.05814994285614,0.535176176618121,NA,0.639049188589759,NA,5.39653840858884,5.39653840858884,14.0410394898438,13.9033164738419
4,"10","4","3",3.10131382534794,9.69720202596842,1.63173861950121,1.52916531435276,1.06707797004399,1.4743693486768,0.545506349879974,NA,0.537637141948536,NA,4.31005206772653,4.82598086499207,14.7577355659817,14.7737719426788
4,"1","1","4",2.90432034419454,10.3038755004488,1.62720140761507,1.60465810693414,1.01404866281703,1.33630790684788,NA,NA,NA,NA,4.93286221890212,5.15956469680706,15.0297896526873,14.9789091529622
4,"2","1","4",2.76111061993346,10.2089580973213,1.65501168269897,1.52192859993738,1.08744370975555,1.07590855534387,NA,NA,NA,NA,4.44659891963071,4.59944748338884,14.7786284305354,14.7423737243646
4,"3","1","4",2.85193360282244,10.3887467947363,1.4835177720892,1.48926338366828,0.996141977542667,1.14014827250042,NA,NA,NA,NA,4.3230330866002,4.50115520588685,14.6196409793418,14.6248477960701
4,"4","1","4",2.77881616003755,9.98042034730872,1.32612404593249,1.37829171082341,0.962150490726117,0.920330547668109,NA,NA,NA,NA,3.75581231404056,3.80844039840161,13.6654752763603,13.6184633185818
4,"5","1","4",3.27353461345746,9.84423050486389,1.52247179214425,1.51570978843461,1.004461278644,1.07440333270051,NA,NA,NA,NA,4.86085333069142,5.00972647419522,14.8280946144607,14.817642431913
4,"6","1","4",2.7774672936406,10.1368818371767,1.62894397604315,1.55997101152114,1.04421426040139,1.14502942596267,NA,NA,NA,NA,4.89599569974919,5.03961756228254,14.6612204538094,14.6719751060463
4,"7","1","4",2.79079579573167,10.1265595224416,1.504176511452,1.47560186522135,1.01936473984218,1.23159006275046,NA,NA,NA,NA,4.21529152857012,4.2985242813599,14.3244090066402,14.2968752778849
4,"8","1","4",2.74215573302625,10.0647535671309,1.54882248606791,1.50752231213827,1.02739606146928,1.25453990598413,NA,NA,NA,NA,4.34734901135855,4.62734680349281,14.311866026742,14.2984610787885
4,"9","1","4",2.41150138786602,10.409889926946,1.57664817558883,1.48030192933777,1.06508553717427,1.06076007815515,NA,NA,NA,NA,3.82788065333711,3.91121128647843,14.2119791905549,14.1317081674546
4,"10","1","4",3.16506841182951,9.80074622028399,1.58549865914916,1.52391902161054,1.0404087334467,1.36984485496208,NA,NA,NA,NA,4.76269485047656,4.83029415886762,14.8189579433551,14.8590118020359
4,"1","2","4",2.96582233617901,10.2334152796297,1.62119585423288,1.60435737079033,1.01049546924465,1.31528422325889,0.682898367218143,-0.184918126233287,0.890848813148761,-0.425325333875357,2.12194409120545,5.39631528402117,15.0415941554344,14.9789091529622
4,"2","2","4",2.75849902454487,10.1075215886541,1.70792785417745,1.52244775598839,1.12183018921963,1.08672472925719,0.661654073504989,-0.225883634527124,0.766295464392137,-0.371884091322528,2.95639898685963,4.64952154366768,14.8188389083956,14.7423737243646
4,"3","2","4",2.81837938417573,10.3870698701279,1.50154098565241,1.48760990015183,1.00936474374038,1.15790904566559,0.63121224767548,-0.293541505274557,0.730177285409174,-0.286112823920631,3.53790265875691,4.5125516807491,14.6189820285856,14.6248477960701
4,"4","2","4",2.90415082426031,9.93697971189803,1.29064283484286,1.37754148773087,0.936917578409087,0.888724562843924,0.780109089185161,-0.313617472682757,0.714987951752583,-0.2148575077641,2.47467600997328,3.97267935020353,13.6852011645326,13.6184633185818
4,"5","2","4",3.32024705470674,9.86933327759524,1.4914281904,1.51618397288727,0.983672309607571,1.05853527897296,0.939133043710126,-0.450809912010805,0.747413912511584,-0.305079368426878,5.64694647371139,5.64694647371139,14.8212433340774,14.817642431913
4,"6","2","4",3.02669478815959,10.0201482144232,1.53810200268381,1.55386420132177,0.989856128595698,1.06069688984079,0.740617357437709,-0.253698835483893,0.83828618615403,-0.335122279961788,5.10872369007361,5.82912832448497,14.6755135296041,14.6719751060463
