"setting","method","dataset","block","param","mean","sd","q025","q50","q975","truth","truth_is_generating","covered"
7,1,2,4,"beta1",0.00034817882025113,0.00996790412161356,-0.0191486900882156,0.000429622342186837,0.0195667931892993,0,TRUE,TRUE
7,1,2,4,"beta2",-0.00422066138484287,0.00984365789648385,-0.0235491166657023,-0.00418408252745288,0.0148946522410835,0,TRUE,TRUE
7,1,2,4,"lambda",0.994055401657279,0.0743408543472315,0.859702317170659,0.990630042115311,1.15013493663898,3,TRUE,FALSE
7,1,2,4,"rho",1.00713183629161,0.0624195036077486,0.888847608584484,1.00388098583809,1.13171376687347,1,TRUE,TRUE
7,1,2,4,"nu",0.498468830523232,0.0407451225180777,0.425715962608942,0.494719232626047,0.588368355451079,0.5,TRUE,TRUE
7,1,2,4,"gamma",0.917094279434327,0.0184670520872914,0.881614230226769,0.917069388776354,0.952699214486082,0.9,TRUE,TRUE
7,1,2,4,"tau.alpha",4.725615,0.254095608448519,4.1,4.8,5,3,TRUE,FALSE
7,1,2,4,"tau.beta",17.7591563617253,1.21998345224675,15.0587337571787,17.8771198760241,19.8757498270169,8,TRUE,FALSE
7,1,2,4,"phi.z1",NA,NA,NA,NA,NA,0.580645161290323,FALSE,NA
7,1,2,4,"phi.z2",NA,NA,NA,NA,NA,0.290322580645161,FALSE,NA
7,1,2,4,"phi.tau1",NA,NA,NA,NA,NA,0.580645161290323,FALSE,NA
7,1,2,4,"phi.tau2",NA,NA,NA,NA,NA,0.290322580645161,FALSE,NA
7,1,2,4,"phi.w1",NA,NA,NA,NA,NA,NA,FALSE,NA
7,1,2,4,"phi.w2",NA,NA,NA,NA,NA,NA,FALSE,NA
7,1,2,5,"beta0",9.8183164207098,0.103647515008575,9.61202248826085,9.82015207027141,10.0156719246675,10,TRUE,TRUE
7,1,2,5,"beta1",0.00136514173825337,0.00883741911488056,-0.015849871242529,0.00137379190173183,0.0184537496544044,0,TRUE,TRUE
