"setting","dataset","method","block","lambda","beta0","zbar","z_pred","z_ratio","sdz_ratio","phi1.z","phi2.z","phi1.tau","phi2.tau","sd_lead1","sd_lead_max","mu_recon","data_mean","A_zconsist","Aprime_sdz","B_truth","C_spread"
7,"1","2","1",0.968218829763216,9.67737912598693,1.26487166466152,1.38188022046636,0.915326557199469,0.951942232205384,0.353653044871394,0.286151240992348,0.398324848177403,-0.159337772255663,2.06171428543062,2.2373959986266,10.9020516889462,11.1123945408742,1,1,0,1
7,"2","2","1",1.35132394902264,10.2908916711472,1.53225650028385,1.71855648747071,0.891595074968382,0.913251500058776,0.274625622364191,0.0568268943093288,0.574090113726927,0.0812528077799895,3.08002398615482,3.16511231544432,12.3614665760264,12.070670771313,1,1,1,1
7,"3","2","1",12.0891758687437,8.70174624111506,1.02421717230915,2.01429202187923,0.508475018112621,0.290716117133098,0.501627161737803,0.472139067053088,0.558006879579116,0.102425908469926,4.02121777080726,10.7435247281639,21.0836877649477,21.1545219699921,0,0,0,1
7,"4","2","1",1.42587227418373,10.1618115329986,1.0885034511032,1.09665373389077,0.992568043553128,1.06033110288517,0.324784815064819,0.121394302829863,0.573946075957249,0.142890582887296,1.67012126117679,2.05130822470534,11.71387842428,11.8062612400128,1,1,1,1
7,"5","2","1",5.34542226420843,13.6594171875068,0.756539845964341,1.10984327256374,0.681663676905241,0.526785837133471,0.558579257399018,0.332950226054262,0.66401305804613,0.0433585578276044,2.83093508069328,5.33484278471251,17.7034421238854,17.4613741667084,1,1,0,1
7,"6","2","1",7.10192032868093,8.43191075012768,1.54706819557198,1.44805186288044,1.06837899610487,0.502987757045089,0.635096525445881,0.304126482388088,0.585070455679068,0.0570694082609326,3.90036376092501,7.54139175958228,19.4190658181161,18.3053309339927,1,1,0,1
7,"7","2","1",3.51845758518642,10.9851264467471,1.96916135791498,1.78701769869036,1.10192605219193,0.844339101075487,0.499354367745012,0.157867097743768,0.312097712561969,0.348963288269174,5.50197591913302,6.57073942182276,17.9135371629591,17.5653103701161,1,1,1,1
7,"8","2","1",1.20123028895727,10.3879559911235,1.55587398688294,1.39537033531262,1.11502584475853,0.842854720590058,0.398754230820614,0.142325855749517,0.686366489427499,0.161136299333187,1.91009393205324,2.38218506052866,12.256918949968,12.4651404500697,1,1,1,1
7,"9","2","1",1.07013328041841,10.4712375301646,1.02368098563706,1.27101813588734,0.805402343785122,0.806790349125052,0.125468071942061,0.402052354569251,0.533753689951764,0.185135548653513,2.24208095248448,2.26908701093416,11.5667126214263,11.6485907025735,1,1,0,1
7,"10","2","1",2.77185667989707,11.0192854472483,2.54597989812593,1.89185086029437,1.34576141891533,0.850264293820552,0.499001370087763,0.22318377904242,0.765482584128025,-0.0537633207314101,4.64909316336232,6.26975846128822,18.0763768347524,17.8696967772061,1,1,1,1
7,"1","4","1",0.935997850394769,9.6702447989985,1.30422654416076,1.38459209763895,0.941957235192057,0.971471920607056,0.548912355699749,NA,0.476590368152847,NA,2.03349295462566,2.2202637304891,10.8909980407608,11.1123945408742,1,1,0,1
7,"2","4","1",1.31296043751035,10.2687235356002,1.58681896755472,1.71741123884562,0.923959813271815,0.939313501851898,0.277973240452372,NA,0.641292171670065,NA,3.09551511986807,3.14501982849829,12.3521540614905,12.070670771313,1,1,1,1
7,"3","4","1",8.58782274062446,8.26299545706351,1.52160900545776,2.02152957724629,0.752701826668536,0.416058944229584,0.935522415871706,NA,0.650541748669396,NA,5.09210851719794,13.9489014163588,21.3303038764726,21.1545219699921,1,0,0,1
7,"4","4","1",1.39679377467352,10.2025082183587,1.07104467077537,1.09552311049585,0.977655934880827,1.07736923939951,0.36288408728319,NA,0.69209391912989,NA,1.71883802548529,2.01923876680007,11.698536746895,11.8062612400128,1,1,1,1
