"score","method","prop_k","quantile","rel_mean","rel_median"
"brier",4,20,0.91,0.352041744804955,0.348930011490437
"brier",4,20,0.92,0.358843436848691,0.352724699009278
"brier",4,20,0.93,0.368429496154832,0.34948775732996
"brier",4,20,0.94,0.37674181202052,0.37884576617677
"brier",4,20,0.95,0.383161145177975,0.387689867164174
"brier",4,20,0.96,0.394284894444609,0.370297087165223
"brier",4,20,0.97,0.413031590430926,0.408597647972562
"brier",4,20,0.98,0.442297722987831,0.471054921179699
"brier",4,20,0.99,0.636882045495184,0.596681290410865
"brier",4,20,0.995,0.777229316118745,0.722003074551418
"brier",5,20,0.9,0.605085412567352,0.603531409003668
"brier",5,20,0.91,0.614901787771041,0.620904040754839
"brier",5,20,0.92,0.624123166934432,0.624634032323663
"brier",5,20,0.93,0.634209529256402,0.637036786878254
"brier",5,20,0.94,0.641870812516199,0.657128980166125
"brier",5,20,0.95,0.650703086599458,0.651727347367837
"brier",5,20,0.96,0.660065138088049,0.643169142934975
"brier",5,20,0.97,0.672118013585611,0.66456530273301
"brier",5,20,0.98,0.693502858502195,0.670161275987676
"brier",5,20,0.99,0.777528114904254,0.745805766344607
"brier",5,20,0.995,0.845874347709596,0.794645660983606
"brier",1,30,0.9,1,1
"brier",1,30,0.91,1,1
"brier",1,30,0.92,1,1
"brier",1,30,0.93,1,1
"brier",1,30,0.94,1,1
"brier",1,30,0.95,1,1
"brier",1,30,0.96,1,1
"brier",1,30,0.97,1,1
"brier",1,30,0.98,1,1
"brier",1,30,0.99,1,1
"brier",1,30,0.995,1,1
"brier",2,30,0.9,0.352026530487383,0.369298216004166
"brier",2,30,0.91,0.358265339886305,0.383194922913192
"brier",2,30,0.92,0.367070121387251,0.375065473001898
"brier",2,30,0.93,0.379127189344906,0.392184043931791
"brier",2,30,0.94,0.389253227279115,0.403373999672313
"brier",2,30,0.95,0.40008229579151,0.415211423995976
"brier",2,30,0.96,0.415840617478662,0.413065176498264
"brier",2,30,0.97,0.441524823929969,0.44181642251157
"brier",2,30,0.98,0.472846024956548,0.506985255572154
"brier",2,30,0.99,0.650048195415731,0.618376447479275
"brier",2,30,0.995,0.776942893324501,0.743682071102334
"brier",3,30,0.9,0.611881721036275,0.608232736332729
"brier",3,30,0.91,0.619919673062965,0.62087154108072
"brier",3,30,0.92,0.62743026559164,0.629030184327608
"brier",3,30,0.93,0.635384418396006,0.637589232042604
"brier",3,30,0.94,0.642187605988546,0.656071931556551
"brier",3,30,0.95,0.649422997187164,0.648549560643812
"brier",3,30,0.96,0.658940583882667,0.641833605267821
"brier",3,30,0.97,0.670955026719502,0.668809615827347
"brier",3,30,0.98,0.690712333213687,0.675016836761017
"brier",3,30,0.99,0.776525261967094,0.738725472932613
"brier",3,30,0.995,0.851358006398273,0.801364631819817
"brier",4,30,0.9,0.345366334188464,0.343359610562215
"brier",4,30,0.91,0.350670436695996,0.357994451472005
"brier",4,30,0.92,0.358217853446497,0.353551680817742
"brier",4,30,0.93,0.368848136600145,0.353911992552011
"brier",4,30,0.94,0.3781206951526,0.366221346965678
"brier",4,30,0.95,0.385995645644213,0.365086439011793
"brier",4,30,0.96,0.39735893705702,0.346122341989029
"brier",4,30,0.97,0.419002591564652,0.389941147608483
"brier",4,30,0.98,0.450027236847303,0.455230312311541
"brier",4,30,0.99,0.674502961163744,0.596552178029611
"brier",4,30,0.995,0.853830301079307,0.725383079785557
"brier",5,30,0.9,0.594525617635424,0.593370737403968
"brier",5,30,0.91,0.604382008097639,0.610416753054165
"brier",5,30,0.92,0.613950050735441,0.616762111276187
"brier",5,30,0.93,0.623465386281364,0.625854416202967
"brier",5,30,0.94,0.631406056029149,0.650010032309215
"brier",5,30,0.95,0.639384872559497,0.635403042693173
"brier",5,30,0.96,0.649865470716198,0.632309753367176
"brier",5,30,0.97,0.66267015996841,0.666003518973555
"brier",5,30,0.98,0.684879039919229,0.669418983944755
"brier",5,30,0.99,0.772549170321279,0.746398934238424
"brier",5,30,0.995,0.849080987103506,0.813446468788413
"brier",1,40,0.9,1,1
"brier",1,40,0.91,1,1
"brier",1,40,0.92,1,1
"brier",1,40,0.93,1,1
"brier",1,40,0.94,1,1
"brier",1,40,0.95,1,1
"brier",1,40,0.96,1,1
"brier",1,40,0.97,1,1
"brier",1,40,0.98,1,1
"brier",1,40,0.99,1,1
"brier",1,40,0.995,1,1
"brier",2,40,0.9,0.343336559306401,0.35368041422016
"brier",2,40,0.91,0.349999027044338,0.357110231120298
"brier",2,40,0.92,0.358591558618121,0.36133261954119
"brier",2,40,0.93,0.370428079546502,0.364001043965203
"brier",2,40,0.94,0.380256325642349,0.373740969747374
"brier",2,40,0.95,0.388197961152571,0.395775530327507
"brier",2,40,0.96,0.401255730492011,0.401450801146256
"brier",2,40,0.97,0.421024889630892,0.406831086366377
"brier",2,40,0.98,0.444303288451405,0.485123306737351
"brier",2,40,0.99,0.629755733130217,0.592512593650578
"brier",2,40,0.995,0.767383359666445,0.708021594993181
"brier",3,40,0.9,0.610133209095017,0.607501761125983
"brier",3,40,0.91,0.617492627198686,0.622114257775362
"brier",3,40,0.92,0.623936785597879,0.627687909113682
