"score","method","prop_k","quantile","mean","median"
"brier",4,10,0.94,0.0218729175510909,0.0219799532931818
"brier",4,10,0.95,0.0188552635217273,0.0190452017159091
"brier",4,10,0.96,0.015587968853,0.0149574443954545
"brier",4,10,0.97,0.0123811814440909,0.0121481555318182
"brier",4,10,0.98,0.00902992637309091,0.00940513102272727
"brier",4,10,0.99,0.00635549084709091,0.00606480867954545
"brier",4,10,0.995,0.00388045140745455,0.00358473682272727
"brier",5,10,0.9,0.0559350675825455,0.0559640247022727
"brier",5,10,0.91,0.0516352348460909,0.0521133692522727
"brier",5,10,0.92,0.0470665396888182,0.0466811451909091
"brier",5,10,0.93,0.0423092229992727,0.0419002487045455
"brier",5,10,0.94,0.0371638547908182,0.03790181345
"brier",5,10,0.95,0.0318368403928182,0.0316395108954545
"brier",5,10,0.96,0.0259761600611818,0.0253551371840909
"brier",5,10,0.97,0.0199827458411818,0.019663735175
"brier",5,10,0.98,0.0139816663345455,0.0135975453431818
"brier",5,10,0.99,0.00769769737245455,0.00755766818181818
"brier",5,10,0.995,0.00417576342509091,0.00400057317045454
"brier",1,20,0.9,0.0899598004461818,0.0905865149613636
"brier",1,20,0.91,0.0817778285688182,0.0815561202863636
"brier",1,20,0.92,0.0735172630157273,0.0732572281386364
"brier",1,20,0.93,0.0651376438559091,0.0648185622772727
"brier",1,20,0.94,0.0565660345953636,0.0562280721818182
"brier",1,20,0.95,0.0478451803396364,0.0476982680272727
"brier",1,20,0.96,0.0385255533098182,0.0389662916863636
"brier",1,20,0.97,0.0290904601043636,0.0290644309590909
"brier",1,20,0.98,0.0197657122846364,0.0197906335795455
"brier",1,20,0.99,0.00974679759390909,0.00996923572045454
"brier",1,20,0.995,0.00489163581954546,0.00498470499772727
"brier",2,20,0.9,0.0317968404128182,0.0315373796
"brier",2,20,0.91,0.0293604613658182,0.0295599015931818
"brier",2,20,0.92,0.0270034535462727,0.0268422703681818
"brier",2,20,0.93,0.0247320420998182,0.0245196606863636
"brier",2,20,0.94,0.0220145107211818,0.0217921734295455
"brier",2,20,0.95,0.0190734277202727,0.0190747622795455
"brier",2,20,0.96,0.0159188324510909,0.0152852392795455
"brier",2,20,0.97,0.0126524588480909,0.0125048887931818
"brier",2,20,0.98,0.00906800526436364,0.00969542737272727
"brier",2,20,0.99,0.006272569848,0.0060124454
"brier",2,20,0.995,0.00381623527018182,0.00361370201590909
"brier",3,20,0.9,0.0557827254674545,0.0558584152886364
"brier",3,20,0.91,0.0513832225155455,0.0517002603159091
"brier",3,20,0.92,0.0467652349484545,0.0465708854272727
"brier",3,20,0.93,0.0419893184898182,0.0419823246318182
"brier",3,20,0.94,0.0368379144460909,0.0375320315659091
"brier",3,20,0.95,0.0315279410760909,0.0314343079386364
"brier",3,20,0.96,0.0257258440744545,0.0253029525659091
"brier",3,20,0.97,0.0197651746438182,0.0194731199386364
"brier",3,20,0.98,0.0138310943913636,0.0133536283840909
"brier",3,20,0.99,0.00764321185818182,0.00746139871818182
"brier",3,20,0.995,0.00417433012309091,0.00406146296590909
"brier",4,20,0.9,0.0312238751893636,0.0310359313045455
"brier",4,20,0.91,0.0287892094557273,0.0284573779886364
"brier",4,20,0.92,0.0263811873282727,0.0258396337454545
"brier",4,20,0.93,0.0239986293065455,0.0226532939636364
"brier",4,20,0.94,0.0213107903722727,0.0213017670863636
"brier",4,20,0.95,0.0183324140901818,0.0184921351954545
"brier",4,20,0.96,0.0151900437201818,0.0144291043090909
"brier",4,20,0.97,0.0120152790032727,0.0118756581295455
"brier",4,20,0.98,0.00874232953672727,0.00932247534090909
"brier",4,20,0.99,0.00620756038863636,0.00594845643409091
"brier",4,20,0.995,0.00380192276272727,0.00359897233409091
"brier",5,20,0.9,0.0544333629674545,0.0546718070113636
"brier",5,20,0.91,0.050285332987,0.0506385246340909
"brier",5,20,0.92,0.0458838270177273,0.0457589578090909
"brier",5,20,0.93,0.0413109144467273,0.0412918086431818
"brier",5,20,0.94,0.0363080865865455,0.0369490957295455
"brier",5,20,0.95,0.0311330065259091,0.0310862656954545
"brier",5,20,0.96,0.0254293746653636,0.0250619164272727
"brier",5,20,0.97,0.0195522222596364,0.0193152123590909
"brier",5,20,0.98,0.0137075779697273,0.0132629162522727
"brier",5,20,0.99,0.00757840915954545,0.00743511348636364
"brier",5,20,0.995,0.00413770925809091,0.00396107419772727
"brier",1,30,0.9,0.0897051298086364,0.0900719118090909
"brier",1,30,0.91,0.0815454092075455,0.0815048932272727
"brier",1,30,0.92,0.0733100520143636,0.0729466228295454
"brier",1,30,0.93,0.0649547728531818,0.0644197978022727
"brier",1,30,0.94,0.0564097216852727,0.0560819513431818
