"band_type","event_quantile","event_threshold_value","score_mean","score_se","rel_to_gaussian","n_obs_total","n_obs_mean_per_fold","obs_share","score_direction","setting","method","knots","thresh","CMAQ","TS","ar2","is_baseline","is_proposed","mrts","setting_orig","source","model_lane"
"below_threshold",0.9,73.25,0.0215599362286438,0.00169909433680216,1.19308915587405,21603,10801.5,0.900687929956223,"lower_better",7,"skew-t",1,50,"yes",NA,NA,FALSE,TRUE,"20",6,"ozone_prop_us_all_results","proposed"
"above_threshold",0.9,73.25,0.371255580735252,0.0153688075518608,1.28101525918541,2382,1191,0.0993120700437774,"lower_better",7,"skew-t",1,50,"yes",NA,NA,FALSE,TRUE,"20",6,"ozone_prop_us_all_results","proposed"
"all",0.95,79.75,0.0343703289728213,0.00171126812427581,1.2715561109213,23985,11992.5,1,"lower_better",7,"skew-t",1,50,"yes",NA,NA,FALSE,TRUE,"20",6,"ozone_prop_us_all_results","proposed"
"below_threshold",0.95,79.75,0.0100861655121215,0.0013742573230203,1.19621975359674,22787,11393.5,0.950052115905774,"lower_better",7,"skew-t",1,50,"yes",NA,NA,FALSE,TRUE,"20",6,"ozone_prop_us_all_results","proposed"
"above_threshold",0.95,79.75,0.494383043032962,0.0359629361085328,1.3001772369622,1198,599,0.0499478840942256,"lower_better",7,"skew-t",1,50,"yes",NA,NA,FALSE,TRUE,"20",6,"ozone_prop_us_all_results","proposed"
"all",0.98,88.5,0.0159157359339359,0.000806206161492825,1.23261837461341,23985,11992.5,1,"lower_better",7,"skew-t",1,50,"yes",NA,NA,FALSE,TRUE,"20",6,"ozone_prop_us_all_results","proposed"
"below_threshold",0.98,88.5,0.00277255561920076,0.000468513224174782,1.25212521070541,23508,11754,0.980112570356473,"lower_better",7,"skew-t",1,50,"yes",NA,NA,FALSE,TRUE,"20",6,"ozone_prop_us_all_results","proposed"
"above_threshold",0.98,88.5,0.662189325854603,0.0398790145502553,1.22636219495358,477,238.5,0.0198874296435272,"lower_better",7,"skew-t",1,50,"yes",NA,NA,FALSE,TRUE,"20",6,"ozone_prop_us_all_results","proposed"
"all",0.99,94.75,0.00867123656472927,0.000794298336838964,1.1938046240066,23985,11992.5,1,"lower_better",7,"skew-t",1,50,"yes",NA,NA,FALSE,TRUE,"20",6,"ozone_prop_us_all_results","proposed"
"below_threshold",0.99,94.75,0.00103349627640811,3.90557437939142e-05,1.37370725030693,23746,11873,0.990035438815927,"lower_better",7,"skew-t",1,50,"yes",NA,NA,FALSE,TRUE,"20",6,"ozone_prop_us_all_results","proposed"
"above_threshold",0.99,94.75,0.766083730276026,0.0672998848059409,1.17241317817947,239,119.5,0.00996456118407338,"lower_better",7,"skew-t",1,50,"yes",NA,NA,FALSE,TRUE,"20",6,"ozone_prop_us_all_results","proposed"
"all",0.995,100.52,0.00458717543923769,0.000159038901769987,1.13820364251826,23985,11992.5,1,"lower_better",7,"skew-t",1,50,"yes",NA,NA,FALSE,TRUE,"20",6,"ozone_prop_us_all_results","proposed"
"below_threshold",0.995,100.52,0.000377062055616989,1.02874598901355e-05,1.62824551304798,23865,11932.5,0.994996873045654,"lower_better",7,"skew-t",1,50,"yes",NA,NA,FALSE,TRUE,"20",6,"ozone_prop_us_all_results","proposed"
"above_threshold",0.995,100.52,0.84377996378198,0.0575396534593993,1.10924951818674,120,60,0.00500312695434647,"lower_better",7,"skew-t",1,50,"yes",NA,NA,FALSE,TRUE,"20",6,"ozone_prop_us_all_results","proposed"
"all",0.9,73.25,0.0544909333994685,0.000813811805736718,1.20970311003681,23985,11992.5,1,"lower_better",8,"skew-t",1,50,"yes",NA,NA,FALSE,TRUE,"40",7,"ozone_prop_us_all_results","proposed"
"below_threshold",0.9,73.25,0.0244902264755502,0.000831779350480559,1.35524629215086,21603,10801.5,0.900687929956223,"lower_better",8,"skew-t",1,50,"yes",NA,NA,FALSE,TRUE,"40",7,"ozone_prop_us_all_results","proposed"
"above_threshold",0.9,73.25,0.326346285853424,0.00675410367349299,1.1260559939026,2382,1191,0.0993120700437774,"lower_better",8,"skew-t",1,50,"yes",NA,NA,FALSE,TRUE,"40",7,"ozone_prop_us_all_results","proposed"
"all",0.95,79.75,0.0334820223874562,0.00111179145972429,1.23869254223431,23985,11992.5,1,"lower_better",8,"skew-t",1,50,"yes",NA,NA,FALSE,TRUE,"40",7,"ozone_prop_us_all_results","proposed"
"below_threshold",0.95,79.75,0.0117030251169046,0.00133147914630858,1.38797938670109,22787,11393.5,0.950052115905774,"lower_better",8,"skew-t",1,50,"yes",NA,NA,FALSE,TRUE,"40",7,"ozone_prop_us_all_results","proposed"
"above_threshold",0.95,79.75,0.446367686243626,0.0256517886689336,1.17390172083785,1198,599,0.0499478840942256,"lower_better",8,"skew-t",1,50,"yes",NA,NA,FALSE,TRUE,"40",7,"ozone_prop_us_all_results","proposed"
"all",0.98,88.5,0.0155304662465141,0.000543613626692459,1.20278057773936,23985,11992.5,1,"lower_better",8,"skew-t",1,50,"yes",NA,NA,FALSE,TRUE,"40",7,"ozone_prop_us_all_results","proposed"
"below_threshold",0.98,88.5,0.0030838782284659,0.000527890970140373,1.39272289070284,23508,11754,0.980112570356473,"lower_better",8,"skew-t",1,50,"yes",NA,NA,FALSE,TRUE,"40",7,"ozone_prop_us_all_results","proposed"
"above_threshold",0.98,88.5,0.627797344212639,0.0308513323865516,1.16266889086595,477,238.5,0.0198874296435272,"lower_better",8,"skew-t",1,50,"yes",NA,NA,FALSE,TRUE,"40",7,"ozone_prop_us_all_results","proposed"
"all",0.99,94.75,0.00844921687430992,0.000740245591489213,1.16323826463391,23985,11992.5,1,"lower_better",8,"skew-t",1,50,"yes",NA,NA,FALSE,TRUE,"40",7,"ozone_prop_us_all_results","proposed"
"below_threshold",0.99,94.75,0.00101784236551565,7.44648903766015e-05,1.35290031429807,23746,11873,0.990035438815927,"lower_better",8,"skew-t",1,50,"yes",NA,NA,FALSE,TRUE,"40",7,"ozone_prop_us_all_results","proposed"
