"calibration_type","bin_id","bin_left","bin_right","bin_mid","expected_share","observed_share_mean","observed_share_se","share_gap","count_total","count_mean_per_fold","summary_draws_used","n_obs_total","bin_direction","setting","method","knots","thresh","CMAQ","TS","ar2","is_baseline","is_proposed","mrts","setting_orig","source","model_lane"
"pit_histogram",6,0.5,0.6,0.55,0.1,0.108608921499644,0.00166864789270391,0.0086089214996441,2605,1302.5,400,23985,"closer_to_expected_share_better",8,"skew-t",1,50,"yes",NA,NA,FALSE,TRUE,"40",7,"ozone_prop_us_all_results","proposed"
"pit_histogram",7,0.6,0.7,0.65,0.1,0.115571185088564,0.00279173897578499,0.0155711850885644,2772,1386,400,23985,"closer_to_expected_share_better",8,"skew-t",1,50,"yes",NA,NA,FALSE,TRUE,"40",7,"ozone_prop_us_all_results","proposed"
"pit_histogram",8,0.7,0.8,0.75,0.1,0.117945339688275,0.00900306407933315,0.0179453396882754,2829,1414.5,400,23985,"closer_to_expected_share_better",8,"skew-t",1,50,"yes",NA,NA,FALSE,TRUE,"40",7,"ozone_prop_us_all_results","proposed"
"pit_histogram",9,0.8,0.9,0.85,0.1,0.111149440262969,0.00896392141078312,0.0111494402629687,2666,1333,400,23985,"closer_to_expected_share_better",8,"skew-t",1,50,"yes",NA,NA,FALSE,TRUE,"40",7,"ozone_prop_us_all_results","proposed"
"pit_histogram",10,0.9,1,0.95,0.1,0.117527004373716,0.0127555662689446,0.0175270043737161,2819,1409.5,400,23985,"closer_to_expected_share_better",8,"skew-t",1,50,"yes",NA,NA,FALSE,TRUE,"40",7,"ozone_prop_us_all_results","proposed"
"pit_histogram",1,0,0.1,0.05,0.1,0.0700474793373018,0.00986576724261146,-0.0299525206626982,1680,840,400,23985,"closer_to_expected_share_better",9,"skew-t",1,50,"yes",NA,NA,FALSE,TRUE,"60",8,"ozone_prop_us_all_results","proposed"
"pit_histogram",2,0.1,0.2,0.15,0.1,0.0692130302345356,0.00828113059295855,-0.0307869697654644,1660,830,400,23985,"closer_to_expected_share_better",9,"skew-t",1,50,"yes",NA,NA,FALSE,TRUE,"60",8,"ozone_prop_us_all_results","proposed"
"pit_histogram",3,0.2,0.3,0.25,0.1,0.0812200359899785,0.00695146884819303,-0.0187799640100215,1948,974,400,23985,"closer_to_expected_share_better",9,"skew-t",1,50,"yes",NA,NA,FALSE,TRUE,"60",8,"ozone_prop_us_all_results","proposed"
"pit_histogram",4,0.3,0.4,0.35,0.1,0.0906831750480163,0.00399483629666175,-0.00931682495198372,2175,1087.5,400,23985,"closer_to_expected_share_better",9,"skew-t",1,50,"yes",NA,NA,FALSE,TRUE,"60",8,"ozone_prop_us_all_results","proposed"
"pit_histogram",5,0.4,0.5,0.45,0.1,0.0997726909204779,0.00533241418462724,-0.000227309079522106,2393,1196.5,400,23985,"closer_to_expected_share_better",9,"skew-t",1,50,"yes",NA,NA,FALSE,TRUE,"60",8,"ozone_prop_us_all_results","proposed"
"pit_histogram",6,0.5,0.6,0.55,0.1,0.103525318266504,0.00608429134310605,0.00352531826650347,2483,1241.5,400,23985,"closer_to_expected_share_better",9,"skew-t",1,50,"yes",NA,NA,FALSE,TRUE,"60",8,"ozone_prop_us_all_results","proposed"
"pit_histogram",7,0.6,0.7,0.65,0.1,0.11127919617542,0.00350225193936121,0.0112791961754203,2669,1334.5,400,23985,"closer_to_expected_share_better",9,"skew-t",1,50,"yes",NA,NA,FALSE,TRUE,"60",8,"ozone_prop_us_all_results","proposed"
"pit_histogram",8,0.7,0.8,0.75,0.1,0.114945559462939,0.00341736460141061,0.0149455594629388,2757,1378.5,400,23985,"closer_to_expected_share_better",9,"skew-t",1,50,"yes",NA,NA,FALSE,TRUE,"60",8,"ozone_prop_us_all_results","proposed"
"pit_histogram",9,0.8,0.9,0.85,0.1,0.111816523950808,0.00896367109795467,0.0118165239508075,2682,1341,400,23985,"closer_to_expected_share_better",9,"skew-t",1,50,"yes",NA,NA,FALSE,TRUE,"60",8,"ozone_prop_us_all_results","proposed"
"pit_histogram",10,0.9,1,0.95,0.1,0.14749699061402,0.031631124748154,0.0474969906140199,3538,1769,400,23985,"closer_to_expected_share_better",9,"skew-t",1,50,"yes",NA,NA,FALSE,TRUE,"60",8,"ozone_prop_us_all_results","proposed"
"pit_histogram",1,0,0.1,0.05,0.1,0.0677132809228333,0.0114492149063292,-0.0322867190771667,1624,812,400,23985,"closer_to_expected_share_better",10,"skew-t",1,50,"yes",NA,NA,FALSE,TRUE,"80",9,"ozone_prop_us_all_results","proposed"
"pit_histogram",2,0.1,0.2,0.15,0.1,0.0681295824456615,0.00978166213224978,-0.0318704175543385,1634,817,400,23985,"closer_to_expected_share_better",10,"skew-t",1,50,"yes",NA,NA,FALSE,TRUE,"80",9,"ozone_prop_us_all_results","proposed"
