"setting","method","mrts_k","parameter","n_datasets","mean_post_mean","median_post_mean","sd_post_mean","mean_post_sd"
3,2,12,"rho",10,6.42285966897378,6.65957547133398,1.272313444192,0.872677195810893
3,2,15,"rho",10,6.3176732562442,6.38960645223854,1.23187463297297,0.91500237002794
3,2,20,"rho",10,6.32993396433813,6.62002000608447,1.2088154305386,0.839394742070104
3,2,25,"rho",10,6.35025125060743,6.53752150070228,1.25719533183617,0.89299909428945
3,3,0,"rho",10,10.1952839164007,10.6579650551431,2.5090583017109,1.78065848534473
3,3,3,"rho",10,10.1295185473364,10.2506033057755,2.68879736043257,1.696845019479
3,3,5,"rho",10,10.166087975335,10.2688980516016,2.63465994931426,1.82547427893264
3,3,8,"rho",10,10.8319884878003,10.9772893265154,2.56642569455315,1.76327939142321
3,3,10,"rho",10,11.250403336715,11.4585775378717,2.49993568656314,1.74494712480163
3,3,12,"rho",10,11.196548507828,11.5822652124882,2.20413487447248,1.78055810117205
3,3,15,"rho",10,11.3291726833304,11.6518353822998,2.14595441620683,1.80093066864549
3,3,20,"rho",10,11.5621650685392,11.733304819387,1.93681055074821,1.67788347305017
3,3,25,"rho",10,11.1078934129704,11.5854708531835,2.338366025119,1.72968227778474
3,4,0,"rho",10,5.79787270322744,6.01851623873866,1.05571152332426,0.607731663531849
3,4,3,"rho",10,6.01361597409794,6.42495006856459,1.54863209219519,0.63412760636364
3,4,5,"rho",10,5.83383818516652,6.01129114672328,1.14758060611841,0.597519983312949
3,4,8,"rho",10,5.85709706236115,6.30622072786232,1.1299741522469,0.614750623404345
3,4,10,"rho",10,5.95235738454184,6.01850251692582,1.19622087484602,0.631031020839373
3,4,12,"rho",10,5.82250908798625,5.8787436106453,1.17118669682296,0.631071432690091
3,4,15,"rho",10,6.02577996779947,6.23054104209697,1.06675936116336,0.622149755055694
3,4,20,"rho",10,5.86133343077453,5.88823437483454,1.14634835830995,0.598142884834183
3,4,25,"rho",10,5.94429582160621,5.92113967672804,1.31821929364949,0.639367697919375
3,5,0,"rho",10,10.8985566888749,11.4148728693841,3.33287042151061,0.929663016525156
3,5,3,"rho",10,10.8855409221368,11.212627945103,2.97013549090107,1.1280621586592
3,5,5,"rho",10,11.7178281539235,13.2095069970715,3.35585529918739,0.864065982107354
3,5,8,"rho",10,11.2043434590686,10.6310067084984,2.90418221664709,1.02656529927234
3,5,10,"rho",10,12.3735048425586,14.086230873646,3.41565036749694,0.739879936751806
3,5,12,"rho",10,11.3092131621852,10.6183379745667,2.94344564195843,1.21328209555107
3,5,15,"rho",10,11.8109144159018,13.478912918056,3.39546209028137,0.771683676309672
3,5,20,"rho",10,11.2486582776157,12.3395621225521,3.05837998928219,0.962085859391515
3,5,25,"rho",10,12.1849900491212,13.8738724397749,3.31736131694711,0.8071558977506
3,1,0,"nu",10,0.461048856145227,0.432180471705929,0.0833434903081021,0.0236531895530914
3,1,3,"nu",10,0.460827275455119,0.429958027848806,0.0837344049775597,0.0235540587744105
3,1,5,"nu",10,0.46051389291755,0.431241591255959,0.0812951744732633,0.0244292050611656
3,1,8,"nu",10,0.46073192558098,0.42865560658872,0.0837219205754958,0.0232706422859532
3,1,10,"nu",10,0.459810874892116,0.426202312796782,0.0816993016564531,0.0232706737292006
3,1,12,"nu",10,0.460753812663349,0.427522831363572,0.0819517007808288,0.0239772518284663
3,1,15,"nu",10,0.46082703730311,0.428460461666522,0.0830377693978094,0.0253348475567433
3,1,20,"nu",10,0.460342080568085,0.427966552205805,0.0835523699566591,0.0246012983528712
3,1,25,"nu",10,0.460572410700334,0.431659328749817,0.0833228723225909,0.0253270820640096
3,2,0,"nu",10,0.666058612778948,0.632459718697366,0.070818055262572,0.0438180564343132
3,2,3,"nu",10,0.667057519331417,0.633267857203374,0.073401046433804,0.0452030022507721
3,2,5,"nu",10,0.666888296170476,0.626868927644146,0.0710817457572472,0.043108858806846
3,2,8,"nu",10,0.664281500106984,0.63064847196087,0.069903309556496,0.0437534718061097
3,2,10,"nu",10,0.664741773195494,0.637418709194605,0.0668873619677587,0.0425922365259211
3,2,12,"nu",10,0.66212825154708,0.6321731239824,0.0673282348453935,0.041581366427484
3,2,15,"nu",10,0.664226298440128,0.632682557439351,0.0677411844277328,0.0443632468488971
3,2,20,"nu",10,0.662737474482199,0.628487038394808,0.0676119115824139,0.0421590165252451
3,2,25,"nu",10,0.662928790797821,0.629623006725808,0.0693919333548406,0.0426060360786493
3,3,0,"nu",10,0.489890949963295,0.492451943467528,0.0801634786166565,0.0564670126356822
3,3,3,"nu",10,0.493506256437951,0.49360988930922,0.0948913689087954,0.0559802094644948
3,3,5,"nu",10,0.485548207003769,0.481910392865223,0.0920841973545488,0.0621145068883712
3,3,8,"nu",10,0.468633525802858,0.475567157257701,0.0794318054476192,0.0511562572646144
3,3,10,"nu",10,0.461422486891416,0.456572070652363,0.0818104145945208,0.0486726179866843
3,3,12,"nu",10,0.453437590530593,0.449584860090905,0.0715941754771139,0.049420441031394
3,3,15,"nu",10,0.453327797400144,0.451066703531488,0.0709851402799006,0.0497021805205585
3,3,20,"nu",10,0.444108975203638,0.444764162422837,0.0565383818370416,0.0433666898126529
3,3,25,"nu",10,0.465328972503404,0.474764598223402,0.0748110939562063,0.0476020895406594
3,4,0,"nu",10,0.65022355038773,0.617230374959213,0.0756239816865489,0.0438621439045853
3,4,3,"nu",10,0.641136874512346,0.610657664623932,0.0823789620123603,0.043696314103074
3,4,5,"nu",10,0.641234146152063,0.618495426469206,0.0808868732373172,0.0427729058015089
3,4,8,"nu",10,0.632436332239829,0.601339236351194,0.087945226724251,0.0433835343347928
3,4,10,"nu",10,0.651746908152475,0.614891643910401,0.0798020227342726,0.0460118111542194
