"setting","surf_type","set","K","mse","rel","rec.rmse"
19,"poly2",1,96,36.0634954297347,0.330622387966945,5.00107588426171
19,"poly2",2,96,34.859009353335,0.32087404599941,4.93062983859975
19,"poly2",3,96,34.9340142603262,0.326754074341561,5.01339416419016
19,"poly2",4,96,33.3020546940466,0.316561319298783,4.99624085334374
19,"poly2",5,96,34.8985728137934,0.317113023278551,4.90614137610625
19,"poly2",6,96,34.5388478742641,0.316934490721799,4.93026106572715
19,"poly2",7,96,35.1743836888302,0.319055108511786,4.91857802303795
19,"poly2",8,96,36.5573610070816,0.324896954939802,4.86618490400115
19,"poly2",9,96,38.0002626774133,0.328961105382018,4.7932799905586
19,"poly2",10,96,36.0077710187484,0.32746411821064,4.93300876129445
20,"transform_mix",1,96,28.1346006414389,0.367709723520026,3.8402242077029
20,"transform_mix",2,96,25.7306683722466,0.35678664294212,3.8123757765601
20,"transform_mix",3,96,26.9866139223629,0.353139800784948,3.79181636327928
20,"transform_mix",4,96,25.9077574260854,0.367389345813647,3.89832746394877
20,"transform_mix",5,96,26.5282358787629,0.359939666960596,3.94223915042083
20,"transform_mix",6,96,27.3152072198548,0.372144031003945,3.84544653767115
20,"transform_mix",7,96,26.3879050440658,0.361996383826404,3.89837246946591
20,"transform_mix",8,96,26.6518436254986,0.360223921718405,3.87679654573875
20,"transform_mix",9,96,26.6911222625504,0.358489116547946,3.86195794609708
20,"transform_mix",10,96,26.1448977317737,0.35639645467149,3.89835457077931
21,"nonsmooth",1,96,37.0870416445047,0.340080518716288,4.68788733678713
21,"nonsmooth",2,96,35.8299665473661,0.334131376435293,4.69870591250066
21,"nonsmooth",3,96,34.8677771364208,0.341506537354059,4.78520059161334
21,"nonsmooth",4,96,37.5119984924854,0.340569619102431,4.7428102387438
21,"nonsmooth",5,96,35.0715080206793,0.34344889230879,4.83737227782557
21,"nonsmooth",6,96,35.6389541958813,0.335887668427444,4.78434050938727
21,"nonsmooth",7,96,33.150661080099,0.325532173383924,4.746388095557
21,"nonsmooth",8,96,34.4705812782759,0.329458107840235,4.75425426109387
21,"nonsmooth",9,96,35.7083677200371,0.330267901045209,4.80464273649119
21,"nonsmooth",10,96,33.9771908097226,0.327531183697824,4.70062367544766
